symbol,name,icon
CVX,Chevron Corp,https://image-cdn.pluang.com/icons/light/global-stocks/cvx.svg
CRM,Salesforce Inc,https://image-cdn.pluang.com/icons/light/global-stocks/crm.svg
CSCO,Cisco Systems Inc,https://image-cdn.pluang.com/icons/light/global-stocks/csco.svg
TM,Toyota Motor Corp,https://image-cdn.pluang.com/icons/light/global-stocks/tm.svg
IBM,International Business Machines Corp,https://image-cdn.pluang.com/icons/light/global-stocks/ibm.svg
AZN,AstraZeneca plc,https://image-cdn.pluang.com/icons/light/global-stocks/azn.svg
MRK,"Merck & Co., Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/mrk.svg
ABT,Abbott Laboratories,https://image-cdn.pluang.com/icons/light/global-stocks/abt.svg
PM,Philip Morris International Inc.,https://image-cdn.pluang.com/icons/light/global-stocks/pm.svg
WFC,Wells Fargo & Co,https://image-cdn.pluang.com/icons/light/global-stocks/wfc.svg
MCD,McDonald's Corp,https://image-cdn.pluang.com/icons/light/global-stocks/mcd.svg
NVS,Novartis AG,https://image-cdn.pluang.com/icons/light/global-stocks/nvs.svg
LIN,Linde PLC,https://image-cdn.pluang.com/icons/light/global-stocks/lin.svg
ACN,Accenture plc,https://image-cdn.pluang.com/icons/light/global-stocks/acn.svg
PEP,"PepsiCo, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/pep.svg
GE,General Electric Co,https://image-cdn.pluang.com/icons/light/global-stocks/ge.svg
PLTR,Palantir Technologies Inc,https://image-cdn.pluang.com/icons/light/global-stocks/pltr.svg
SHEL,Shell PLC,https://image-cdn.pluang.com/icons/light/global-stocks/shel.svg
ADBE,Adobe Systems Inc,https://image-cdn.pluang.com/icons/light/global-stocks/adbe.svg
T,AT&T Inc.,https://image-cdn.pluang.com/icons/light/global-stocks/t.svg
VZ,Verizon Communications Inc,https://image-cdn.pluang.com/icons/light/global-stocks/vz.svg
MS,Morgan Stanley,https://image-cdn.pluang.com/icons/light/global-stocks/ms.svg
AXP,American Express Co,https://image-cdn.pluang.com/icons/light/global-stocks/axp.svg
DIS,Walt Disney Co,https://image-cdn.pluang.com/icons/light/global-stocks/dis.svg
ISRG,"Intuitive Surgical, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/isrg.svg
QCOM,"QUALCOMM, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/qcom.svg
NOW,ServiceNow Inc,https://image-cdn.pluang.com/icons/light/global-stocks/now.svg
GS,Goldman Sachs Group Inc,https://image-cdn.pluang.com/icons/light/global-stocks/gs.svg
AMGN,"Amgen, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/amgn.svg
TXN,Texas Instruments Incorporated,https://image-cdn.pluang.com/icons/light/global-stocks/txn.svg
RTX,Raytheon Technologies Corp,https://image-cdn.pluang.com/icons/light/global-stocks/rtx.svg
INTU,Intuit Inc.,https://image-cdn.pluang.com/icons/light/global-stocks/intu.svg
CAT,Caterpillar Inc,https://image-cdn.pluang.com/icons/light/global-stocks/cat.svg
PGR,Progressive Corp,https://image-cdn.pluang.com/icons/light/global-stocks/pgr.svg
AMD,Advanced Micro Devices,https://image-cdn.pluang.com/icons/light/global-stocks/amd.svg
UBER,Uber Technologies Inc,https://image-cdn.pluang.com/icons/light/global-stocks/uber.svg
BKNG,Booking Holdings Inc,https://image-cdn.pluang.com/icons/light/global-stocks/bkng.svg
SPGI,S&P Global Inc,https://image-cdn.pluang.com/icons/light/global-stocks/spgi.svg
DHR,Danaher Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/dhr.svg
PFE,Pfizer Inc,https://image-cdn.pluang.com/icons/light/global-stocks/pfe.svg
UNP,Union Pacific Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/unp.svg
NEE,"NextEra Energy, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/nee.svg
SNY,Sanofi SA,https://image-cdn.pluang.com/icons/light/global-stocks/sny.svg
BLK,Blackrock Inc,https://image-cdn.pluang.com/icons/light/global-stocks/blk.svg
UL,Unilever plc,https://image-cdn.pluang.com/icons/light/global-stocks/ul.svg
BSX,Boston Scientific Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/bsx.svg
